[1, '"RTybvkaPne8"', '"Craziest Conspiracy Theories"', '"2020-04-04T20:12:39.000Z"', '"UCAVojJ1k03GZzjSbdXXunkw"', '"ShaneGlossin"', '22', '"People & Blogs"', '"20.04.10"', '"shane|dawson|conspiracy|theories|journalism|investigative journalism|docuseries|documentary"', '"9766913"', '"2962"', '"657767"', '"5922"', '"80615"']
[117, '"DYiIlP8FbOg"', '"Pittsburgh Dad Homeschooling the Kids"', '"2020-04-06T14:47:32.000Z"', '"UCXy7f-o2lGoF1PZ-FKeDtSg"', '"Pittsburgh Dad"', '23', '"Comedy"', '"20.04.10"', '"Pittsburgh Dad|Curt Wootton|Chris Preksta|Steelers|Penguins|Pens|Pirates|Kennywood|Pittsburgh|funny|comedy|sitcom|skit|sketch|stand-up"', '"131818"', '"118"', '"3753"', '"102"', '"250"']
[118, '"-sKqPjhSiq0"', '"MAX 최강창민 \'Chocolate\' MV"', '"2020-04-06T09:00:12.000Z"', '"UCEf_Bc-KVd7onSeifS3py9g"', '"SMTOWN"', '10', '"Music"', '"20.04.10"', '"MAX|Chocolate|MV|music video|TVXQ!|Solo|Mini Album|최강창민|초콜릿|뮤직비디오|뮤비|동방신기|솔로|미니앨범|티저|최초공개|premiere"', '"1792147"', '"177"', '"224068"', '"2198"', '"12420"']
[119, '"a_3udEttUaU"', '"when you wake blathers"', '"2020-04-05T19:36:06.000Z"', '"UC6MFZAOHXlKK1FI7V0XQVeA"', '"ProZD"', '1', '"Film & Animation"', '"20.04.10"', '"blathers|when you wake|owl|museum|animal crossing|new horizons|leaf|nintendo|switch|hoo|hoot|loud|scream|waking"', '"519209"', '"4"', '"36888"', '"338"', '"887"']
[120, '"L6P3nI6VnlY"', '"Extraction | Official Trailer | Netflix"', '"2020-04-07T11:00:00.000Z"', '"UCWOA1ZGywLbqmigxE4Qlvuw"', '"Netflix"', '24', '"Entertainment"', '"20.04.10"', '"Action|Chris Hemsworth|Russo Brothers|Movie|Thriller|David Harbour|Netflix|Trailer|Golshifteh Farahani|Sam Hargrave|Stunts|Avengers|Thor|Joe Russo|Anthony Russo"', '"2992862"', '"183"', '"113931"', '"1526"', '"7143"']
[121, '"E_iMRrjJbhk"', '"Brie & Bryan mourn the loss of Josie at her funeral – Total Bellas Exclusive"', '"2020-04-05T13:28:59.000Z"', '"UCIJnHb6meZoOjKF68h35QgQ"', '"The Bella Twins"', '22', '"People & Blogs"', '"20.04.10"', '"the bella twin|bellas|brie bella|nikki bella|bella wwe|bella youtube channel|nikki bella vlog|brie bella vlog|wwe vlogs|Total Bellas|Brie Bella|Nikki Bella|Artem Chigvintsev|Daniel Bryan|Birdie Joe Danielson|Josie|Brie & Bryan\'s Bulldog|total bellas clips|new season total bellas|brie bella dog|daniel bryan dog|josie bella|josie danielson|dog death"', '"1037426"', '"128"', '"21703"', '"1464"', '"1954"']
[122, '"obt6HZh__CE"', '"hey, been a while"', '"2020-04-03T21:10:29.000Z"', '"UCiYcA0gJzg855iSKMrX3oHg"', '"CoryxKenshin"', '22', '"People & Blogs"', '"20.04.10"', '"coryxkenshin|cory|kenshin|returns|2020|is|back|im|disappeared|never|coming|when|he|funny|hilarious|moments|vlog|japan|make a wish|9 months|stopped|uploading|on|youtube|comeback|hiatus|break|shogun|samurai"', '"5086500"', '"951"', '"706891"', '"6271"', '"335693"']
[123, '"xWggTb45brM"', '"Drake - Toosie Slide"', '"2020-04-03T04:15:05.000Z"', '"UCQznUf1SjfDqx65hX3zRDiA"', '"DrakeVEVO"', '10', '"Music"', '"20.04.10"', '"Drake|Toosie|Slide|OVO|Hip|Hop"', '"21046047"', '"312"', '"826968"', '"31027"', '"8947"']
[124, '"wlE7KOUXYQY"', '"PLUS ULTRA PROMINENCE BURN! | My Hero Academia"', '"2020-04-04T19:00:28.000Z"', '"UC6pGDc4bFGD1_36IKv3FnYg"', '"Crunchyroll Collection"', '1', '"Film & Animation"', '"20.04.10"', '"crunchyroll|anime|anime trailer|anime preview|anime full episode|crunchyroll collection|daily clips|anime pv|anime op|anime opening|anime highlights|mha|bnha|my hero academia|boku no hero academia|僕のヒーローアカデミア|season 4|s4|episode 88|ep88|endeavor|nomu|prominence burn|plus ultra|fight|battle|vs"', '"2125007"', '"126"', '"70027"', '"427"', '"6252"']
[125, '"NZUcXxKjIJk"', '"I Tried the Worst Rated Amazon Nail Products"', '"2020-04-04T15:30:10.000Z"', '"UCGCVyTWogzQ4D170BLy2Arw"', '"Simply Nailogical"', '24', '"Entertainment"', '"20.04.10"', '"nails|nail art|nail tutorial|beauty tutorial|nail art tutorial|diy nails|diy nail art|simply nailogical|cristine|amazon|lowest rated|1-star|one star|bad reviews|low rated|testing|trying|i tried|worst|worst products|amazon nail products|amazon worst|worst rated|1 star review|simply testing|testing out|vacuum nails|nail dust|dust collector|weird products|weird amazon|strange|weird nail tools"', '"2068305"', '"1180"', '"100046"', '"1458"', '"5593"']
[126, '"alOwWr7NsIk"', '"OUR MORNING ROUTINE IN QUARANTINE..."', '"2020-04-04T21:13:56.000Z"', '"UCWwWOFsW68TqXE-HZLC3WIA"', '"The ACE Family"', '22', '"People & Blogs"', '"20.04.10"', '"the ace family our morning routine in quarantine|ace family our morning routine in quaratine|our morning routine in quarantine|our morning routine|our new morning routine|morning routine|the ace family|ace family|ace family morning routine|family morning routine"', '"4278526"', '"1644"', '"190726"', '"3417"', '"22625"']
[127, '"OOJqHPfG7pA"', '"What Coronavirus Symptoms Look Like, Day By Day"', '"2020-03-18T17:52:24.000Z"', '"UC9uD-W5zQHQuAVT2GdcLCvg"', '"Science Insider"', '28', '"Science & Technology"', '"20.04.10"', '"Business Insider|Science Insider"', '"13884474"', '"319"', '"185435"', '"5146"', '"16080"']
[128, '"KfhSDcy-9RA"', '"Lava vs Iphone XS!"', '"2020-04-05T20:17:46.000Z"', '"UCUaT_39o1x6qWjz7K2pWcgw"', '"BeastHacks"', '24', '"Entertainment"', '"20.04.10"', '"life hacks|crafts|slime|do it yourself|diy|lifehacks|dily projects|useful things|how to|experiment|experiments|diy activities|handcraft|prank|funny|challenge|pranks|secret|diy slime|laugh|new|skills|tricks|tips|fun"', '"272709"', '"717"', '"9837"', '"756"', '"1042"']
[129, '"GkcduBa9dLg"', '"DIY *NO SEW* FACE MASKS! (free and easy!)"', '"2020-04-04T18:17:33.000Z"', '"UCJA8OyDxRY-wm0ya2gtHOsw"', '"Do It On A Dime"', '26', '"Howto & Style"', '"20.04.10"', '"doitonadime|home organization|home organizing|organizing tips|budget organization|dollar tree|cleaning"', '"988425"', '"194"', '"37394"', '"1308"', '"1364"']
[130, '"q57D33ErXsI"', '"My dog Thurnis"', '"2020-04-04T19:00:10.000Z"', '"UCoQHs6PAQErJCC3T5HSLmZw"', '"SomeThingElseYT2"', '24', '"Entertainment"', '"20.04.10"', '"My dog|dog|cute|thurnis|somethingelseyt|somethingelseyt\'s dog|somethingelseyts pet|funny|lol|comedy"', '"627729"', '"252"', '"59543"', '"373"', '"5834"']
[131, '"SjOcMfiPgUo"', '"It\'s Okay God (FULL VIDEO) Karan Aujla I Rupan Bal I Proof I Latest Punjabi Songs 2020"', '"2020-04-05T07:30:12.000Z"', '"UCm9SZAl03Rev9sFwloCdz1g"', '"Rehaan Records"', '10', '"Music"', '"20.04.10"', '"[none]"', '"6502630"', '"199"', '"428800"', '"14999"', '"35006"']
[132, '"QtvNc9vhx94"', '"New York: the new deadly epicentre of the coronavirus crisis | 60 Minutes Australia"', '"2020-03-30T02:13:27.000Z"', '"UC0L1suV8pVgO4pCAIBNGx5w"', '"60 Minutes Australia"', '24', '"Entertainment"', '"20.04.10"', '"60 Minutes|60 Minutes Australia|Liz Hayes|Charles Wooley|Tara Brown|Liam Bartlett|Allison Langdon|Tom Steinfort|Ellen Fanning|Peter Overton|Tracey Curro|Paul Barry|Peter Harvey|Michael Usher|Ross Coulthart|George Negus|Ian Leslie|Gerald Stone|Sarah Abo|coronavirus|covid19|covid|new york|nyc|new york coronavirus epicentre|new york icu|hospitals|coronavirus patients|ventilator shortage|ppe shortage"', '"685067"', '"408"', '"7724"', '"530"', '"0"']
[133, '"Am2zMjOkZuU"', '"DABI\'S REAL NAME! His ULTIMATE Plan REVEALED - My Hero Academia War Arc"', '"2020-04-05T23:03:35.000Z"', '"UCb9CyYGTSHwh9pASlZtMI3A"', '"Plot Armor"', '1', '"Film & Animation"', '"20.04.10"', '"my hero academia|dabi|dabi vs hawks|hawks vs dabi|dabi real name|dabi\'s name|dabi is touya|dabi is a todoroki|dabi\'s plan|dabi name reveal|dabi tells hawks his name|dabi my hero academia|my hero academia dabi|my hero academia chapter 267|my hero academia 267|boku no hero academia|boku no hero academia chapter 267|tokoyami vs dabi|tokoyami saves hawks|plot armor|plot armor my hero academia|anime|manga|dabi todoroki|dabi touya|dabi theory"', '"419503"', '"886"', '"12176"', '"528"', '"2081"']
[134, '"FT2PLTzwm_w"', '"Jorge & Mateus - Live Na Garagem"', '"2020-04-05T04:32:10.000Z"', '"UCL64gn1KZ1C-u87BGQv3b6w"', '"Jorge & Mateus Oficial"', '10', '"Music"', '"20.04.10"', '"[none]"', '"39863811"', '"15906"', '"2432067"', '"39106"', '"11185"']
[135, '"9GkllX0l52g"', '"GOT7 DYE CINEMA TRAILER"', '"2020-04-05T15:00:04.000Z"', '"UCaO6TYtlC8U5ttz62hTrZgg"', '"jypentertainment"', '10', '"Music"', '"20.04.10"', '"JYP Entertainment|JYP|JB|마크|잭슨|진영|영재|뱀뱀|유겸|GOT7|갓세븐|mark|jackson|jingyoung|youngjae|bambam|yugyeom|제이비|갓세븐 제이비|갓세븐 마크|갓세븐 잭슨|갓세븐 진영|갓세븐 영재|갓세븐 뱀뱀|갓세븐 유겸|got7 jb|got7 mark|got7 jackson|got7 jinyoung|got7 bambam|got7 yugyeom|JYP TEASER|GOT7 MINI ALBUM|GOT7 TEASER|갓세븐 티저|GOT7 M/V|갓세븐 뮤직비디오|GOT7 MV TEASER|DYE|NOT BY THE MOON|GOT7 NOT BY THE MOON|GOT7 DYE"', '"1194062"', '"121"', '"228231"', '"784"', '"14646"']
[136, '"oKt58b7AwJc"', '"Tales of Runeterra: Demacia | “Before Glory”"', '"2020-04-06T17:00:19.000Z"', '"UC2t5bjwHdUX4vM2g8TRDq5g"', '"League of Legends"', '20', '"Gaming"', '"20.04.10"', '"Riot Games|Riot|League of Legends|League|LoL|MOBA|trailer|cinematic|cg|short|animation|animated|movie|riot|riot games|champions|card game|moba|legends of runeterra|legends runeterra|legends|runeterra|runterra|LoR|league of legends|league|garen|fiora|noxus|ionia|shadow isles|demacia|piltover|zaun|freljord"', '"3019903"', '"160"', '"150172"', '"2541"', '"8652"']
[137, '"zm_NmpdgWWA"', '"How to SEW a REUSABLE FACE MASK  with FILTER POCKET// DIY Fabric Face mask // BATCH sew Medical mask"', '"2020-04-03T18:51:20.000Z"', '"UCv71n9T8O8En2ybSAO6WlWw"', '"homemadeonourhomestead"', '22', '"People & Blogs"', '"20.04.10"', '"fabric face mask|how to batch sew medical face masks for hospitals|DIY fabric face mask sewing patter|How to sew a medical face mask|Beginner fabric face mask sewing project|How to sew a fabric face mask|Reusable fabric face mask|5 minute medical face mask"', '"2508812"', '"666"', '"48987"', '"1169"', '"3210"']
[138, '"qzZY7oDpdwU"', '"Korean Street Toast (길거리토스트) Gilgeori-toast"', '"2020-04-05T20:17:55.000Z"', '"UC8gFadPgK2r1ndqLI04Xvvw"', '"Maangchi"', '26', '"Howto & Style"', '"20.04.10"', '"Korean food|Korean cooking|Maangchi|Maangchi recipes|Korean cuisine|Korean street toast|Korean street food|길거리토스트|Korean toast"', '"453022"', '"632"', '"19690"', '"397"', '"1239"']
[139, '"RZZOmWljnAc"', '"Costco Is Making A Big Change To Its Membership Policy"', '"2020-04-04T01:30:02.000Z"', '"UCGvIBxqin_rx3sY9qacQEhQ"', '"Mashed"', '24', '"Entertainment"', '"20.04.10"', '"mashed|mashed food|costco|costco policy|costco store policy|costco changes|costco store policy corona|costco store policy coronavirus|costco store policy covid-19|costco guest changes|costco member changes|costco guest members|costco membership|costco supplies|costco shopping|costco crowded|costco membership policy|costco membership policy changes|costco membership policy changed"', '"1866995"', '"271"', '"13138"', '"1291"', '"1594"']
[140, '"CLoiELbCn1E"', '"Rod Wave - Girl Of My Dreams (Official Audio)"', '"2020-04-03T04:00:05.000Z"', '"UCenjunBhBhvKjfDAESnoppw"', '"RodWave"', '10', '"Music"', '"20.04.10"', '"rod wave|hunger games|hunger games 3|ptsd|ghetto gospel|kevin gates|lil durk|nba youngboy|NLE Choppa|Drake|Juice Wrld|Roddy Rich|YK Osiris|Yella Beezy|Jackboy|OG3Three|YFN Lucci|Money Man|Q Money|Yung Dolph|Pray 4 love|Pray|Love|Pray For Love|Cuban Link|Heart On Ice|Ghetto Gospel|Heart|pray|pray for love|pray 4 love|rod wave pray for love|hip hop|rap|2020|music|rod|wave|pray for love rod wave|pray for|girl of my dreams|girl|dreams"', '"4651619"', '"160"', '"95790"', '"2645"', '"3655"']
[141, '"y67x0Hu8ssU"', '"F1 Virtual Grand Prix! Full Race | Albert Park Circuit"', '"2020-04-05T20:35:20.000Z"', '"UCB_qr75-ydFVKSF9Dmo6izg"', '"FORMULA 1"', '20', '"Gaming"', '"20.04.10"', '"[none]"', '"1720353"', '"5577"', '"34384"', '"1469"', '"1211"']
[142, '"ApYdTqNG-_k"', '"Insane 2HYPE INDOOR Soccer Tennis!!"', '"2020-04-05T01:34:51.000Z"', '"UCOYSYNsxTfGTGbMu2c-kpfg"', '"Mopi"', '24', '"Entertainment"', '"20.04.10"', '"2HYPE soccer|2HYPE mopi|mopi soccer tennis|soccer tennis|soccer|tennis|jesser soccer|moochie soccer|zackttg soccer|2HYPE|Soccer challenge"', '"460794"', '"699"', '"22527"', '"336"', '"1548"']
[143, '"ZNzs9pKf0eA"', '"Nightly News Full Broadcast (April 4th)"', '"2020-04-05T05:32:33.000Z"', '"UCeY0bbntWzzVIaj2z3QigXg"', '"NBC News"', '25', '"News & Politics"', '"20.04.10"', '"Nightly Netcast|Nightly News Netcast"', '"2903317"', '"1313"', '"15797"', '"2086"', '"8711"']
[144, '"4WVAB9o_wYQ"', '"WE\'RE MOVING AGAIN? (MILLION DOLLAR HOUSE TOUR)"', '"2020-04-06T00:30:38.000Z"', '"UCtj45MepAoKxZoyR_Mnt86Q"', '"Royal Family"', '24', '"Entertainment"', '"20.04.10"', '"queen Naija|Medicine|Queen|Spicy|Royalty Squad|Spicy Mafia|ClarenceNYC TV|Medicine by Queen|Music|Personality|Funny Videos|Singing Videos|Chris and Queen|Divorce|Record Labels|Marriage|Relationships|Brands|Clothes|Beauty|Confidence|Make Up"', '"573842"', '"1126"', '"28767"', '"979"', '"3154"']
[145, '"K5PQQfi3YQI"', '"Which Twin Can go Viral on Tik Tok? SISTER vs SISTER"', '"2020-04-06T00:17:54.000Z"', '"UCuVHOs0H5hvAHGr8O4yIBNQ"', '"Niki and Gabi"', '26', '"Howto & Style"', '"20.04.10"', '"which twin can go viral on tik tok|tik tok|tik tok challenge|sister vs sister|niki and gabi|sister vs sister challenge|viral on tik tok|going viral on tik tok|sister challenge|sisters|sisters tik tok"', '"1373397"', '"892"', '"67594"', '"1150"', '"4571"']
[146, '"ZHuv0hO-D7w"', '"Kane Brown, John Legend - Last Time I Say Sorry (Official Video)"', '"2020-04-03T21:15:10.000Z"', '"UCsEj8E122ibbJetQe8BoV7g"', '"KaneBrownVEVO"', '10', '"Music"', '"20.04.10"', '"John Legend sorry|sorry|last time|john lengend kane brown sorry|kane brown john legend last time|john legend kane brown last time|what ifs|homesick|the voice|tiktok|video I saw on tiktok|video from tiktok|heaven|one thing right|marshmello|kb last time|lose it|good as you|all of me|bigger love|worldwide beautiful|john legend actions|Country|Kane Brown & John Legend|Last Time I Say Sorry|RCA Records Label Nashville"', '"1508143"', '"197"', '"71847"', '"1159"', '"1682"']
[147, '"AEz4hlO_kDo"', '"Palm Sunday and the Passion of the Lord by Pope Francis | Live Recorded"', '"2020-04-05T10:55:24.000Z"', '"UCErQl0ZF36rb667dMJCjC3A"', '"Shalom World"', '25', '"News & Politics"', '"20.04.10"', '"Vatican live|Palm Sunday|holy week live|palm sunday live|shalom world|catholic channel|christian media"', '"461765"', '"6243"', '"7427"', '"782"', '"712"']
[148, '"3fG8rNHUspU"', '"PEPCORN: a cooking video | bdg"', '"2020-04-04T16:00:00.000Z"', '"UCakAg8hC_RFJm4RI3DlD7SA"', '"brian david gilbert"', '26', '"Howto & Style"', '"20.04.10"', '"brian|david|gilbert|BDG|funny|humor|music|song|awkward|goofy|live|comedy|guy|joking|songs|singing|polygon|pepcorn|popcorn|recipe|cooking|video|bon appetit|hunzi|matt hunziker|it\'s alive|tarzan|phil collins|lao gan ma|spicy|savory|theater|salt|wok|pop"', '"730596"', '"738"', '"83448"', '"689"', '"4481"']
[149, '"qaA7HuhH6Ko"', '"Anuel AA - 3 de abril [Official Audio]"', '"2020-04-03T03:41:20.000Z"', '"UCRI7hheejBbWS6etTNwMT0g"', '"Anuel AA"', '10', '"Music"', '"20.04.10"', '"Anuel AA|anuel|Free anuel|3 de abril|real hasta la muerte"', '"14855803"', '"225"', '"626157"', '"16843"', '"36298"']
[150, '"JR5yb4sFDTo"', '"PRINTABLE Pattern For Face Mask FREE! 😍 Try this Reversible Face Mask DIY!"', '"2020-04-04T15:00:07.000Z"', '"UCWfwA2Rcw6GRFESo8o622Bw"', '"Anjurisa"', '26', '"Howto & Style"', '"20.04.10"', '"printable pattern for face mask|printable pattern face mask|reversible face mask|how to make fabric mask at home|how to sew mask for face|how to sew face mask at home easy|how to make fabric mask|diy fabric face mask easy|cloth face mask diy|cloth mask making easy|fabric mask tutorial|diy fabric face mask|fabric mask diy|how to sew face mask pattern|how to sew mask at home|cloth mask making ideas|fabric mask how to make|cloth mask making at home|fabric mask"', '"513166"', '"314"', '"11349"', '"244"', '"260"']
[151, '"Gxb9_4BPIGo"', '"i made the tiktok whipped coffee"', '"2020-04-03T19:18:07.000Z"', '"UC1KsxDW7hhfeq5QQmFtInIw"', '"julien solomita"', '24', '"Entertainment"', '"20.04.10"', '"julien solomita|vlogs|vlogs by julien|how to|jenna and julien|girlfriend|vegan|vegan recipe|vegan cooking|diy vegan|diy|julien cooking|gluten free|aries|aries kitchen|chef|julen|julien|best|meals|tiktok|tiktok coffee|whipped coffee|julien tiktok|julien coffee|julien tiktok coffee|foamy coffee|vegan whipped coffee|how to make whipped coffee|tik tok coffee"', '"2030351"', '"1070"', '"113591"', '"2316"', '"10184"']
[152, '"1r2C1zGUHbU"', '"DIY No Sew Face Mask Easy and Quick for Anyone"', '"2020-04-03T02:13:22.000Z"', '"UCtQVy5IY7TjSBMo-lGigfnQ"', '"Kristin Omdahl"', '26', '"Howto & Style"', '"20.04.10"', '"knit|crochet|knitting|crocheting|yarn|craft|diy|how to|how to make|como hacer|hilo|ganchillo|tejer|Вязание|вязать|ニット|かぎ針編み|לִסְרוֹג בְּמַסרֵגָה אַחַת|לִסְרוֹג|diy face mask|diy no sew|no sew face mask|bandana face mask"', '"5848731"', '"98"', '"59674"', '"1538"', '"4002"']
[153, '"rL85F0TXCkQ"', '"Saints Row The Third Remastered - Announce Trailer | PS4"', '"2020-04-06T14:00:23.000Z"', '"UC-2Y8dQb0S6DtpxNgAKoJKA"', '"PlayStation"', '20', '"Gaming"', '"20.04.10"', '"Saints Row|The third|remastered|comparison|Steel port|open world|action|mayhem|crazy|wild|tiger|cars|planes|gang|heist|full|package|remake|upgrade|saints row IV|saints row gat out of hell|saints row re-elected"', '"564652"', '"80"', '"28633"', '"1131"', '"4260"']
[154, '"Y5f3gS3PjJ4"', '"Stop Doing THAT To Your Face...Start Doing THIS! | Jackie Aina"', '"2020-04-04T02:55:45.000Z"', '"UCzJIliq68IHSn-Kwgjeg2AQ"', '"Jackie Aina"', '26', '"Howto & Style"', '"20.04.10"', '"makeup for dark skin|do not skin bleach|dark skin makeup tutorials|tutorials for dark skin"', '"867377"', '"2010"', '"54236"', '"912"', '"3184"']
[155, '"BaoEykfrQt0"', '"Full Race Replay | Saturday Night Thunder | iRacing from Bristol Motor Speedway"', '"2020-04-05T02:48:14.000Z"', '"UCuN9hYw2RpoAW8rZ3VK3isA"', '"NASCAR"', '17', '"Sports"', '"20.04.10"', '"iracing|bristol motor speedway|nascar|live|racing|simulator|logan seavey"', '"193584"', '"7737"', '"2735"', '"118"', '"137"']
[156, '"xa0qshcRhDQ"', '"KSI - Poppin (feat. Lil Pump & Smokepurpp) [Official Music Video]"', '"2020-04-03T14:00:23.000Z"', '"UCVtFOytbRpEvzLjvqGG5gxQ"', '"KSI"', '10', '"Music"', '"20.04.10"', '"Poppin|rap|hiphop|KingBach|BaileySok|MalyMall|TajvsTaj|Elijah Long|Kacee Devoe|Andre Jones"', '"6147817"', '"256"', '"421629"', '"36704"', '"43788"']
[157, '"8cu4qAoeXow"', '"Deadpool Has Arrived | Fortnite"', '"2020-04-03T14:01:33.000Z"', '"UClG8odDC8TS6Zpqk9CGVQiQ"', '"Fortnite"', '20', '"Gaming"', '"20.04.10"', '"Fortnite|Epic Games|PC|PS4|Xbox One|Battle Royale|Unreal Tournament|Unreal Engine|Fortnite Battle Royale|Fortnite Creative"', '"3628232"', '"38"', '"115657"', '"8161"', '"15848"']
