rank,video_id,title,publishedAt,channelId,channelTitle,categoryId,category,trending_date,tags,view_count,likes,dislikes,comment_count,duration
1,loOWKm8GW6A,twenty one pilots - Level of Concern (Official Video),2020-04-09T16:00:10.000Z,UCBQZwaNPFfJ1gZ1fLZpAEGw,twenty one pilots,10,Music,20.04.10,"""twenty one pilots|level of concern|twenty one pilots level of concern|level of concern official|level of concern video|tyler joseph level of concern|tell me we’re ok|would you be my little quarantine|twenty one pilots quarantine|top level of concern|21 pilots level of concern|fueled by ramen|level concern twenty one pilots|official twenty one pilots|twenty one pilots official|josh dun|tyler joseph|top official video|21 pilots""",5015897,725697,5923,44987,233
2,BccyzhMWVmg,Sigues Con Él Remix - Arcangel X Sech X Romeo Santos ( Video Oficial ),2020-04-10T04:00:11.000Z,UCu4bj03KW4CwAsYtHSwMEsQ,Arcangel,10,Music,20.04.10,"""arcangel|austin santos""",1728928,211146,6844,9543,198
3,lGSOWwUvJiU,Mixing Every Bath Bomb From Lush Together,2020-04-09T01:39:05.000Z,UCbAwSkqJ1W_Eg7wr3cp5BUA,Safiya Nygaard,22,People & Blogs,20.04.10,"""mixing every bath bomb from lush together|bath bombs|soaps|franken|bad makeup science|lush|bath & body works|safiya nygaard|safia|sofia|safiya mixing|safiya and tyler""",3974319,249534,3992,19865,1944
4,PKXloFW_ZCA,Gorillaz - Aries ft. Peter Hook & Georgia (Episode Three),2020-04-09T15:00:11.000Z,UCfIXdjDQH9Fau7y99_Orpjw,Gorillaz,1,Film & Animation,20.04.10,"""gorillaz|song machine|aries|peter hook|georgia|damon albarn|jamie hewlett|2d|murdoc niccals|noodle|russel hobbs|started out|new order|joy division""",1697848,176502,2118,9786,289
5,87NvIDKag20,"J.I. - ""Proud Of Me"" (Official Music Video)",2020-04-10T04:14:55.000Z,UCT4WhY3XAlGz5fb4vUaDXNA,J.I.,10,Music,20.04.10,"""Ji|ji prince of ny|j.i|j I|proud of me|proud of me ji|ji proud of me|j.i proud of me|proud of me j.i|ji prince of New York|j I proud of me|proud of me j I|lil jay|music|prince of New York|prince of ny|j.i.|j.i the prince of New York|proud of me lyrics|j.i proud of me lyrics|proud|ji love scars|j.i. need me|j.i prince of New York|ji the prince of ny proud of me""",185612,33641,285,1903,195
6,kgRb2fSt8fs,Brewstew - School Field Trip,2020-04-09T23:14:35.000Z,UCepPGz8AVCbggMl3BvboaBA,brewstewfilms,23,Comedy,20.04.10,"""school|field trip|animation|stick figure|brewstew|funny|story|bowling|bowling alley|bowling ball|class|flash animation|cartoon|story time""",353926,31542,260,3571,255
7,VJeC0ChCuao,Justin Timberlake Cries a River While Eating Spicy Wings | Hot Ones,2020-04-09T15:00:27.000Z,UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,26,Howto & Style,20.04.10,"""First we feast|fwf|firstwefeast|food|food porn|cook|cooking|chef|kitchen|recipe|cocktail|bartender|craft beer|complex|complex media|Cook (Profession)sean evans|justin timberlake|justin timberlake hot ones|justin timberlake hot sauce|justin timberlake spicy wings|justin timberlake hot wings|justin timberlake marilyn manson|justin timberlake interview|justin timberlake 2020|hot ones|hot ones hot sauce|the last dab|da bomb reaction|justin timberlake da bomb""",3071478,119012,2007,12048,1778
8,Nbq6Wfh9fi4,When Your Friend Goes Steampunk - Key & Peele,2020-04-09T20:00:04.000Z,UCdN4aXTrHAtfgbVG9HjBmxQ,Key & Peele,23,Comedy,20.04.10,"""Key & Peele|Key and Peele|Jordan Peele|Keegan-Michael Key|keey & peele|Key & Peele full episodes|key and peele show|steampunk|levi|cedric|telescope|funny|funny video|comedy videos|funny jokes|funny clips|cedric and levi|cedric and levi key and peele|levi and cedric key and peele|levi and cedric|keegan michael key|key and peele steampunk|key and peele cedric and levi|key and peele levi""",1058268,40070,681,2284,199
9,d4tOKn5Zosc,Kenia Os - Tercera Noche (Official Video),2020-04-09T23:00:14.000Z,UCSEY-xdBrV-J1zpLg9-mr6w,K OS,10,Music,20.04.10,"""Kenia|osuna|keninis|Kenia os|k os|kenia os bonita|kenia os por siempre|kenia os roast|kenia os delito|kenia os mentiroso|kenia os cocteles|kenia os diamantes|kenia os musica|k os escribeme|jbalvin|karol g|bad bunny|nuevos lanzamientos|nueva musica 2020|balvin|jbalvin colores|karol g tusa|anuel aa karol g|yhlqmdlg|bad|bunny|billie eilish|billie eilish live|billie|say yo|kenia os nueva cancion|kenia os mil|os|lizos music|kenia os spotify""",1565348,307865,18258,33138,179
10,GXzmVdxzk70,Fredo Bang - Lazer Tag (Classic) (Dir. @DrewFilmedIt),2020-04-09T16:00:15.000Z,UCuP4PfIUKLTDkp7SQ1M4ksg,DrewFilmedIt,10,Music,20.04.10,"""[none]""",170869,11259,263,799,102
11,SP0_h-7hwfU,JD Pantoja & Noriel - Mi Plan (Video Oficial),2020-04-09T16:21:11.000Z,UCrEsfMzcv3zFZkaSj8jsB2g,JD Pantoja,10,Music,20.04.10,"""jd|pantoja|reggaeton|urbano|musica|pop|trap|baile|musical|cantante|juan|de|dios""",2225046,361365,31485,46357,188
12,xvSV7m2Ktug,Machine Gun Kelly - What's Poppin Freestyle,2020-04-08T17:54:17.000Z,UCUs8sGiP4avNaYNVO22INhQ,Machine Gun Kelly,10,Music,20.04.10,"""[none]""",1424706,115245,4864,11254,117
13,ANbhxA4xJ3g,10 Things Megan Thee Stallion Can't Live Without | GQ,2020-04-09T16:00:11.000Z,UCsEukrAd64fqA7FjwkmZ_Dw,GQ,24,Entertainment,20.04.10,"""10 essentials|ten essentials|megan thee stallion|megan thee stallion 2020|megan thee stallion interview|megan thee stallion gq|megan thee stallion 10 essentials|my essentials|megan thee stallion favorite|megan thee stallion favorites|favorite megan thee stallion|megan thee stallion 10 things|megan thee stallion explains|megan thee stallion breaks down|10 things megan thee stallion|megan thee stallion top 10|10 essentials megan thee stallion|gq|gq magazine""",809904,44274,686,2575,493
14,J7zG3LHNReU,When you're quarantined in medieval times,2020-04-10T03:51:02.000Z,UCnZx--LpG2spgmlxOcC-DRA,Daniel Thrasher,23,Comedy,20.04.10,"""piano in medieval times|when you learn a riff and put it in everything|How you look when you play piano with headphones on|when you gotta stay fonky|daniel thrasher|Daniel Thrasher|when the groove fonky|when you play a tritone in medieval times|when you hit a dead key in medieval times|how to play piano|piano for beginners|piano lessons online""",381126,58542,194,2153,181
15,O4KxqOuPycE,How I Learned To Love Again,2020-04-09T17:00:14.000Z,UC-lCjm6VLCotg5ZOfJ7xF9w,Hello Hunnay with Jeannie Mai,26,Howto & Style,20.04.10,"""Hello Hunnay|Jeannie Mai|Kin|Lifestyle|How To|Empowerment|hello hunay|hello honey|hello hunny|confidence|how to be confident|personal development|finally opening up|dating advice|how to build self confidence|divorce|dating after divorce|how to love yourself|self love|how to love yourself and be confident|how to be more confident|self confidence|self love tips|how to practice self love|how to love yourself more|life after divorce|relationship advice""",381569,22372,718,2604,856
16,yUL4gDVR6MI,J.A.R.V.I.S. in Real Life! (Shop Automation),2020-04-09T20:00:26.000Z,UCjgpFI5dU-D1-kh9H1muoxQ,the Hacksmith,28,Science & Technology,20.04.10,"""thehacksmith|hacksmith|iron man|ironman|jarvis|jarvis AI|AI|home automation|shop automation|j.a.r.v.i.s|iron man tech|real life iron man|how to make jarvis|personal assistant jarvis|iron man 3|how to create jarvis|tony stark|marvel|iron man jarvis|j.a.r.v.i.s.|iron man computer|linus|LTT""",969475,60199,789,3515,950
17,FgyiumHd7mw,Tech N9ne - Just Die? (Intro 1) | OFFICIAL MUSIC VIDEO,2020-04-09T16:00:10.000Z,UC87iZ03xDe8csLCjWyV2E0A,Strange Music Inc,10,Music,20.04.10,"""Tech N9ne|Just Die?|ENTERFEAR|Official Music Video|Strange Music|Hip Hop|Rap|Independent|Indie Hip Hop|Intro""",276132,22201,561,1530,194
18,zD4QbpxQRJY,Richard Wakes Up After Surgery - Grey's Anatomy,2020-04-10T05:00:17.000Z,UC_IpSl6O_-IRAA6fiNs05Gg,ABC,24,Entertainment,20.04.10,"""hospital|patients|emergency|residents|doctors|recovery|memory|relationships|breakup|emotion|James Pickens Jr.|Kelly McCreary|Jesse Williams|Debbie Allen|Ellen Pompeo|Richard Flood|Giacomo Gianniotti|Kim Raver|Chris Carmack|Caterina Scorsone""",269862,2870,50,361,250
19,nyzjy0SP3Qk,Grace and Frankie Live Table Read | Netflix Is A Joke,2020-04-10T01:20:18.000Z,UCObk_g1hQBy0RKKriVX_zOQ,Netflix Is A Joke,23,Comedy,20.04.10,"""Netflix Is A Joke|Grace And Frankie|Grace & Frankie|Lily Tomlin|Jane Fonda|Sam Waterston|Martin Sheen|June Diane Raphael|Peter Gallagher|Lily Tomlin and Jane Fonda|Lily Tomlin Stand Up|jane fonda and lily tomlin|jane fonda interview|lily tomlin interview|Netflix Comedy|Netflix Sitcoms|Netflix LGBTQ Shows|Brooklyn Decker""",142368,5475,96,218,4179
20,mjx7BLpJWbE,[BT21] BT21 UNIVERSE ANIMATION - BTS Reaction,2020-04-09T08:55:13.000Z,UCINr5W7cwW06ADtsszAToAw,BT21,1,Film & Animation,20.04.10,"""[none]""",2148190,293895,831,9604,1120
21,3QqnhDI7VFA,Pastry Chef Attempts to Make Gourmet Cadbury Creme Eggs | Gourmet Makes | Bon Appétit,2020-04-09T16:25:04.000Z,UCbpMy0Fg74eXXkvxJrtEn3w,Bon Appétit,26,Howto & Style,20.04.10,"""gourmet makes|claire|claire saffitz|claire makes|claire bon appetit|pastry chef|claire gourmet makes|cadbury creme eggs|make cadbury creme eggs|making cadbury creme eggs|how to cadbury creme eggs|claire cadbury creme eggs|claire makes cadbury creme eggs|gourmet cadbury creme eggs|cadbury creme eggs bon appetit|cadbury eggs|gourmet cadbury eggs|diy cadbury eggs|homemade cadbury eggs|cadbury eggs recipe|claire cadbury eggs|cadbury|easter|food|bon appetit""",2209112,82016,1056,6544,1965
22,gaJKOUQS1T4,Radiohead - Live From A Tent In Dublin (October 2000) #StayHome #WithMe,2020-04-09T21:00:11.000Z,UCq19-LqvG35A-30oyAiPiqA,Radiohead,10,Music,20.04.10,"""Radiohead|kid a|live from a tent|Dublin tent|2000|Dilly Gent|Punchestown Racecourse|County Kildare|Ireland|Thom Yorke|Jonny Greenwood|Colin Greenwood|Ed O’Brien|Phil Selway|Radio head|Dead Air Space|XL|Nigel Godrich|XL Recordings|Alternative|thm yrk|tom Yorke|tohm york|Greenwood|jnny|Jonny and Thom|Greenwood brothers|o’brain|EOB|Selway|Philip Selway""",343148,31121,119,2124,3241
23,1vq_h4myH1E,How To Make a Self-Starting Siphon,2020-04-10T01:54:47.000Z,UClq42foiSgl7sSpLupnugGA,D!NG,24,Entertainment,20.04.10,"""vsauce|michael stevens|siphon|science|diy|at home science|learning|homeschool|physics|learn at home|science project|water pressure|air pressure""",324477,26584,148,1693,804
24,s-aScZtOfbM,Live Marília Mendonça - #LiveLocalMariliaMendonca,2020-04-09T03:01:05.000Z,UCwfEOn0O1DWcyTgzVVu28ig,Marília Mendonça,10,Music,20.04.10,"""[none]""",49181316,2902567,59126,11743,12628
25,5C_3EattWe0,blink-182 - Happy Days (Official Video) #stayhome,2020-04-09T17:00:10.000Z,UCf2WBemooP2gBBx3lrraNQw,blink182VEVO,10,Music,20.04.10,"""blink182|blink-18|blink 182|happy days|blink-182 happy days|blink182 happy days|blink 182 happy days|happy days video|blink 182 happy days video|blink-182 happy days video|stay home|stay safe|covid-19|coronavirus|punk|new blink 182 video|new blink-182 video|stayhome|blink 182 covid|blink-182 covid|blink-182 covid-19|covid|blink-182 coronavirus|blink 182 coronavirus|fan video|fan videos|UGC|blink-182 ugc|blink-182""",327746,20388,502,1295,181
26,4r0b-6wmD3w,Calibre 50 - Barquillero,2020-04-10T04:00:11.000Z,UCoAXIMqrhLmnGTkdsrna3cw,CalibreCincuentaVEVO,10,Music,20.04.10,"""Calibre|Barquillero|Latin|Regional|Mexican""",141977,14197,165,484,213
27,tBiWL0S3_tg,I HATE 13 Reasons Why (Season 3),2020-04-09T08:13:37.000Z,UCRbOPaGDB_xOQkVM8Rnn62Q,I Hate Everything,23,Comedy,20.04.10,"""I HATE EVERYTHING|I hate|everything|hate everything|comedy|satire|IHE""",547868,33338,458,3571,1297
28,X3Cl3xrn6ug,Dance Gavin Dance - Lyrics Lie (Official Music Video),2020-04-09T16:00:09.000Z,UCxnS0WDBVfBnTP2e97DYDSA,riserecords,10,Music,20.04.10,"""rise records|Lyrics Lie|Dance Gavin Dance""",131201,12339,67,951,237
29,WZSKoNGTR6Q,A 3D model of a person coughing in an indoor environment – how an aerosol cloud travels in the air,2020-04-09T08:42:11.000Z,UCLIDbYJCT0oxtd2Esk0-OoQ,Aalto University,27,Education,20.04.10,"""aalto university|aalto-yliopisto|covid-19|air-borne particles|infection""",1350853,1742,265,584,49
30,RpZlS8Rmng4,P!nk’s Candid Conversation About Contracting COVID-19,2020-04-09T13:00:30.000Z,UCp0hYYBW6IMayGgR-WeoCvQ,TheEllenShow,24,Entertainment,20.04.10,"""ellen|the ellen show|ellen degeneres|pink|pink ellen|pink interview|pink coronavirus|pink son|pink son coronavirus|coronavirus interview|coronavirus|corona|virus|ellen coronavirus|pink story|pink tells all|pink opens up|pink struggle|ellen fans|ellen audience|ellen interview|celebrity coronavirus|coronavirus survivors""",947454,22784,623,1820,839
31,eK5oAmESJlA,"And Now, A Very Special COVID-19 Message From Walter | JEFF DUNHAM",2020-04-08T17:02:11.000Z,UC0NaWwWghJD37rMK2AYDidg,Jeff Dunham,23,Comedy,20.04.10,"""achmed|all over the map|america's got talent|arguing with myself|bubba j|comedian|comedy|comedy special|commercial|controlled chaos|funny|hilarious|jeff dunham|jeff dunham netflix|jeff dunham: beside himself|keel|live stream|netflix|netflix original|netflix special|peanut|quarantined|self isolated|spark of insanity|stand-up|stay home|stayhome|together at home|togetherathome|unhinged in hollywood|walter|with me|withme|COVID-19|donald trump|movie trailer""",904067,31785,1230,2152,93
32,SOSNFTzAIVs,Woodturning - The Speaker,2020-04-09T21:06:29.000Z,UC6nZXhOz_gHr4mlb5UNl9ug,Matt Jordan,22,People & Blogs,20.04.10,"""woodturning|woodturning a speaker|woodturning for beginners|oak speaker|TangBand speaker|Tangband T2-2136SA|mono amplifiers|matt jordan woodturning|epoxy resin wood projects|epoxy resin|scheppach lata 5.0 lathe|axminster chucks""",520424,10457,443,574,493
33,MuEVSZYtDl4,This is the PS5 Controller...,2020-04-07T23:09:01.000Z,UCXGgrKt94gR6lmN4aN3mYTg,Austin Evans,28,Science & Technology,20.04.10,"""ps5|dualsense|playstation 5|ps5 controller|controller|playstation 5 controller|gaming|tech|reveal|announcement|xbox|sony|xbox series x|series x|dual sense|the test drivers|test drivers|this is|austin evans|playstation""",3469704,84908,35881,22936,424
34,8DcsFo3dnzE,Giving My Shed a Tiny House Makeover!,2020-04-07T17:54:32.000Z,UC0CG8Kj2DqFc9bJld0hJKBA,Ryland Adams,24,Entertainment,20.04.10,"""Ryland Adams|Morgan Adams|Shane Dawson|Makeover|Reveal|DIY|Design|Spotify|Podcast|Hermes|Gucci""",2900585,196642,3055,14623,1811
35,E_sJQLQFyCw,Best Baby Mama Dance Ever! (9 months pregnant) | Dhar and Laura,2020-04-09T01:00:06.000Z,UCyA2du_flsYZHLaoU_5Qjkg,Dhar and Laura,22,People & Blogs,20.04.10,"""LiveGlam owner|Dhar Mann and Laura G|LauraG_143|Dhar Mann|Laura G|baby mama dance|dance|funny dance|pregnant wife dances|pregnant dance|dancing|fun|funny|couples vlog|vlog|9 month pregnant|baby mama dancing|mom dancing|mother dancing""",339096,31598,740,22471,260
36,b4F_SJHfgqo,Trying Awful Viral Photo Ideas,2020-04-07T17:30:02.000Z,UCSUf5_EPEfl4zlBKZHkZdmw,Danny Gonzalez,23,Comedy,20.04.10,"""danny gonzalez|funny|commentary|comedy|react|reaction|reacting|awful|humor|trying|troom troom|troom troom's|photo|ideas|viral|troom""",2087917,168383,1497,18273,1350
37,1379SkZUx3M,"Solving a $20,000 Puzzle Box- Level 10!! (One of a Kind)",2020-04-08T21:51:10.000Z,UCrPUg54jUy1T_wII9jgdRbg,Chris Ramsay,24,Entertainment,20.04.10,"""chris ramsay|chris|ramsay|puzzle|puzzles|hardest puzzle|puzzle box|puzzle solving|impossible puzzle|20000 puzzle|expensive puzze|puzzle master|mr puzzle|solved|solution|puzzle solution""",804363,103948,1281,7391,1599
38,d0Fbcc8uWEc,The Conspiracy Theory that the Middle Ages Never Happened,2020-04-09T15:00:14.000Z,UCuCkxoKLYO_EQ2GeFtbM_bw,Half as Interesting,27,Education,20.04.10,"""conspiracy|theory|middle|ages|never|happened|phantom time theory|calendars|strange|weird|science""",482716,24383,605,1548,399
39,AGNyWTntU0o,"Anything You Customize, I'll Pay For Challenge (Giveaway)",2020-04-07T19:29:42.000Z,UClQubH2NeMmGLTLgNdLBwXg,ZHC,24,Entertainment,20.04.10,"""zhc|mrbeast|mr beast|challenge|custom|Anything You Customize|I'll Pay For Challenge (Giveaway)|fun|funny|viral|funny videos|customize|hydro dip|iphone 11|iphone 12|ipad pro""",4078616,239978,3520,129592,739
40,7OGAqaf0kZg,Everything Wrong With Scott Pilgrim vs The World,2020-04-09T16:07:34.000Z,UCYUQQgogVeQY8cMQamhHJcg,CinemaSins,1,Film & Animation,20.04.10,"""wave jockey job|everything wrong with|eww|cinemasins|cinema sins|movie|movie review|review|everything wrong with scott pilgrim vs the world|eww scott pilgrim vs the world|eww scott pilgrim|cinemasins scott pilgrim vs the world|scott pilgrim vs the world|scott pilgrim|scott pilgrim vs the world reivew|michael cera|scott pilgrim movie|mary elizabeth winstead|world|vs the world|scott""",604173,27630,1523,3573,1219
41,qP_wIvitN7w,FINDING OUT I'M PREGNANT AND SURPRISING MY BOYFRIEND,2020-04-07T22:39:19.000Z,UCCFrAf9Pu5Zw2-WyyPjHd0w,Lena & Adam,22,People & Blogs,20.04.10,"""first pregnancy|pregnant|live pregnancy test|lena|adam22|baby|pregnancy announcement""",754400,40934,1807,5577,617
42,rFnxG-p_3Oo,Quadeca - Where'd You Go? (Official Music Video),2020-04-08T18:40:32.000Z,UCtkINlF2LAt0cpd2ySc8mgw,Quadeca,10,Music,20.04.10,"""Quadeca|Whered you go|whered u go|where you go|music video|rap|rapper|rapping|hip hop|official music video|from me to you|album|single""",658376,77443,2385,7496,150
43,OX-Ra4nrVj0,THE DEBUNKATHON,2020-04-08T13:00:00.000Z,UCEOXxzW2vU0P-0THehuIIeg,Captain Disillusion,24,Entertainment,20.04.10,"""explanation|debunking|VFX|animation|comedy|film|adventure|superhero|sketpicism|science|paranormal|visual effects|action""",729528,95003,591,5308,623
44,EqfHd_zMiIA,'Bored as Hell' by Chris Mann (A Lizzo Parody Cover),2020-04-08T19:00:10.000Z,UCnBkqftMxYPr0ib_9cUA5xw,Chris Mann Music,10,Music,20.04.10,"""chris mann|chris mann music|bored|hell|lizzo|good|parody|funny|scotch|soda|casamigos|tequila|singer|harmony|music|hello|adele""",259794,15539,237,1043,208
45,npWvuY0NcKI,I WAXED De'arra Armpits and It Went Like... (BIG MISTAKE) | Quarantine Vlog,2020-04-07T21:32:42.000Z,UCYL9lSER7W0kMXbGCprMS0A,Vlogs By DK4L,22,People & Blogs,20.04.10,"""quarantine vlog|quarantine video|quarantine|quarantines|armpit wax funny|waxing armpits|armpits waxing|ripping wax|wax rip|dk4l chalenge|dk4l pranks|dk4l vlogs""",628941,37788,609,1827,2353
46,nlmbfw9xWTk,5 Whole Pizzas + Q&A (#TakeoutTuesday ep.2),2020-04-08T02:42:07.000Z,UCd1fLoVFooPeWqCEYVUJZqg,Matt Stonie,24,Entertainment,20.04.10,"""Matt Stonie|Megatoad|Competitive Eating|Food Challenge|Speed Eating|Eating Challenge""",2572455,117669,2202,8992,648
47,v5SSnQBtaq4,Backward Hippo,2020-04-07T21:57:37.000Z,UCVpankR4HtoAVtYnFDUieYA,zefrank1,15,Pets & Animals,20.04.10,"""[none]""",1288374,99586,1571,5837,98
48,FPx7X7k0HuM,Nashville Hot Chicken | Basics with Babish,2020-04-09T13:00:10.000Z,UCJHA_jMfCvEnv-3kRjTCQXw,Binging with Babish,24,Entertainment,20.04.10,"""basics with babish|babbish|cooking with babish|binging with babish|hot chicken|hot chicken recipe|pear qwerty horse|how to make hot chicken|nashville hot chicken|easy hot chicken recipe|hot chicken at home|nashville hot wings|nashville hot fried chicken tenders|nashville fried hot chicken|nashville fried chicken sauce|nashville chicken recipe|nashville chicken sandwich|nashville hot fried chicken kfc""",1372927,61555,422,2402,323
49,u3JJoSApX_s,Every School Cafeteria Ever,2020-04-08T16:00:35.000Z,UCY30JRSgfhYXA6i6xX1erWg,Smosh,23,Comedy,20.04.10,"""smosh|smosh pit|smosh games|funny|comedy|every cafeteria ever|every school cafeteria ever|smosh ebe|every blank ever|ebe cafeteria|ebe school|every recess ever""",1110432,54211,871,3854,605
50,AEMd4VVJVus,I Bought My Budget Dream Car!,2020-04-08T14:00:04.000Z,UClqhvGmHcvWL9w3R48t9QXQ,Engineering Explained,2,Autos & Vehicles,20.04.10,"""dream car|new car|buy a car|bought my dream car|acura nsx|supercar|hypercar|engineering explained|used car|mazda mx-5|miata|ford mustang|gt350|jaguar f-type|supercharged|engine|engineering|cars""",519200,24507,865,4114,1057
51,I_mlT2f3oqY,"Hello, New Chateau Houghton! (Empty House Tour)",2020-04-07T17:00:10.000Z,UCE1FRQFAcRXE5KVp721vo9A,All Things Adrienne,26,Howto & Style,20.04.10,"""Adrienne Houghton|Adrienne Bailon|All Things Adrienne|All Things Adrienne Houghton|Adrienne Houghton Youtube Channel|Adrienne|Kin Community|Lifestyle|How To|tips|Entertainment|Tutorial|interior design tips|israel houghton|home decor|moving|new home|new house|new house tour|new home tour|home renovation|house renovation|vlog|house tour|home tour|house tour 2020|home tour 2020|remodeling|remodeling ideas|remodel ideas|home remodeling|house remodel""",1283855,47295,1325,5499,1470
52,KWBY-fsWq4U,Meet My 1 Day Old Kittens!,2020-04-07T21:15:05.000Z,UCE4hoGDQruxi8_hUqB6tLVw,Joey Graceffa Vlogs,15,Pets & Animals,20.04.10,"""joey graceffa|joey graceffa vlogs|joey graceffa youtube|youtube joey graceffa|joey graceffa vlogs youtube|youtube joey graceffa vlogs|pregnant cat|pregnant cat gives birth|foster pregnant cat|cat adoption|kitten rescue|kittens born|newborn kittens|kitten|newborn|baby animals|black cat|black cat gives birth|1 day old kittens|kitten fostering|feeding kitten|kitten birth""",904230,46019,1098,9187,846
